municipio,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,freq,share_tracado_via_tipo,share_is_night,share_is_weekend,share_is_single_lane
apucarana,6113,81,1802,559,3367,304,2361,4742,2685,0.639851024208566,0.44171322160149,0.475977653631285,0.694227188081937
leopoldina,5537,162,1726,507,3005,136,2233,4236,2666,0.402475618904726,0.364591147786947,0.466616654163541,0.989497374343586
curvelo,6047,269,1584,827,3184,183,2411,4366,2662,0.787753568745304,0.379789631855748,0.524417731029301,0.898948159278738
dourados,6132,98,1591,654,3604,185,2245,4148,2646,0.67384731670446,0.427437641723356,0.515873015873016,0.45427059712774
embu,5795,118,968,430,3889,390,1398,4984,2638,0.890447308567096,0.462850644427597,0.48483699772555,0.0356330553449583
eldorado do sul,6170,98,988,444,4492,147,1432,4544,2627,0.871336124857252,0.386372287780739,0.486105824133993,0.614389036924248
abreu e lima,5814,52,589,268,4623,282,857,5249,2621,0.917588706600534,0.227012590614269,0.412438000763068,0.19381915299504
guapimirim,5601,115,1200,393,3656,237,1593,4632,2609,0.660789574549636,0.366807205825987,0.501724798773476,0.683786891529322
sao goncalo do rio abaixo,5595,191,1645,699,2933,127,2344,4107,2576,0.256987577639752,0.316770186335404,0.463121118012422,0.988354037267081
conselheiro lafaiete,5690,150,1525,535,3304,175,2060,4337,2552,0.68730407523511,0.379310344827586,0.508620689655172,0.940047021943574
imbituba,4804,104,1373,470,2698,159,1843,3969,2501,0.762894842063175,0.445421831267493,0.497800879648141,0.409436225509796
candeias,5324,103,1388,227,3349,256,1615,4006,2499,0.910764305722289,0.314125650260104,0.440176070428171,0.0600240096038415
montes claros,5731,174,1831,676,2901,149,2507,3968,2499,0.666666666666667,0.403761504601841,0.500600240096039,0.941176470588235
amelia rodrigues,5139,79,985,226,3587,262,1211,4220,2493,0.880064179703169,0.326915363016446,0.474528680304854,0.0296831127156037
juquitiba,4718,166,868,384,3073,227,1252,3794,2488,0.738745980707396,0.478697749196142,0.481511254019293,0.119372990353698
congonhas,6043,164,1467,487,3754,170,1954,4594,2485,0.619315895372233,0.400402414486922,0.472837022132797,0.993561368209255
belem,5286,39,358,124,4584,180,482,5005,2477,0.633831247476786,0.424707307226484,0.382317319337909,0.288251917642309
sapucaia,5079,134,1199,365,3243,138,1564,3739,2445,0.483844580777096,0.379959100204499,0.507566462167689,0.966053169734151
cacapava,5596,77,1003,203,3908,404,1206,4858,2441,0.980335927898402,0.451863990167964,0.498156493240475,0.0434248258910283
lavras,3742,35,959,123,2556,69,1082,3055,2421,0.299049979347377,0.361420900454358,0.477075588599752,0.0161090458488228
cacoal,5260,65,1683,509,2833,170,2192,4353,2411,0.890087100788055,0.314807133969307,0.436748237245956,0.990045624222314
novo hamburgo,5263,67,800,174,4093,129,974,4737,2403,0.810653349979193,0.390345401581357,0.433624635871827,0.176029962546816
cuiaba,4957,109,880,475,3407,86,1355,4328,2375,0.808,0.321684210526316,0.427368421052632,0.733473684210526
juatuba,4328,120,1146,425,2515,122,1571,3475,2375,0.513263157894737,0.372631578947368,0.541473684210526,0.352421052631579
balsa nova,5148,57,973,225,3735,158,1198,3918,2373,0.563843236409608,0.375895490939739,0.497682258744206,0.214496418036241
domingos martins,4861,83,1295,604,2698,180,1899,3871,2373,0.293299620733249,0.270965023177413,0.52928782132322,0.939738727349347
itatiaiucu,4121,53,1039,172,2782,75,1211,3166,2368,0.382179054054054,0.372888513513514,0.491131756756757,0.027027027027027
monte alegre de minas,4571,93,1132,370,2893,83,1502,3397,2357,0.634705133644463,0.420025456088248,0.455239711497667,0.534577853203225
sinop,5450,135,1466,541,3081,226,2007,4005,2320,0.758620689655172,0.398706896551724,0.491810344827586,0.677586206896552
mangaratiba,5671,154,1691,537,3178,111,2228,3984,2309,0.419662191424859,0.329146816803811,0.552620181896925,0.836725855348636
ubatuba,5230,47,1690,389,2919,185,2079,4050,2303,0.655232305688233,0.400781589231437,0.515414676508901,0.96699956578376
esteio,4811,42,699,146,3833,91,845,4392,2300,0.785217391304348,0.398260869565217,0.38,0.0943478260869565
barra velha,4748,82,1064,372,3105,125,1436,4076,2288,0.817744755244755,0.453671328671329,0.554195804195804,0.232517482517483
oliveira,4065,92,1237,207,2453,76,1444,2967,2286,0.437882764654418,0.383639545056868,0.443132108486439,0.0284339457567804
casimiro de abreu,5166,149,816,337,3732,132,1153,4339,2284,0.760945709281962,0.340192644483363,0.44877408056042,0.886164623467601
acailandia,5515,285,1494,789,2487,460,2283,3895,2283,0.768287341217696,0.441524310118265,0.500219010074464,0.971090670170828
itapecerica da serra,4734,90,804,368,3211,261,1172,3915,2283,0.821725799386772,0.441524310118265,0.474375821287779,0.0569426193604906
barbacena,3996,82,1303,318,2189,104,1621,2923,2276,0.365553602811951,0.358523725834798,0.49780316344464,0.159050966608084
aparecida,4481,80,1083,275,2826,217,1358,3677,2244,0.648841354723708,0.422905525846702,0.515151515151515,0.122994652406417
araguari,4125,89,1222,412,2287,115,1634,3315,2228,0.533662477558348,0.412028725314183,0.488779174147217,0.497755834829443
santo antonio da patrulha,4204,47,1039,204,2832,82,1243,3201,2212,0.909132007233273,0.405063291139241,0.533905967450271,0.0135623869801085
macaiba,4956,111,882,515,3200,248,1397,4296,2211,0.775667118950701,0.344640434192673,0.4880144730891,0.747625508819539
garuva,4189,64,850,152,2988,135,1002,3529,2185,0.816018306636156,0.42929061784897,0.500228832951945,0.0366132723112128
extrema,3813,76,920,251,2413,153,1171,3093,2148,0.374301675977654,0.383147113594041,0.482774674115456,0.0526070763500931
itatiaia,4010,56,549,155,3083,167,704,3525,2148,0.795623836126629,0.475791433891993,0.465083798882682,0.185754189944134
barra do pirai,4446,100,876,328,2988,154,1204,3639,2127,0.622472966619652,0.414668547249647,0.466384579219558,0.942642219087917
erechim,4620,50,916,291,3182,181,1207,3856,2124,0.576741996233522,0.380885122410546,0.433145009416196,0.905838041431262
sapucaia do sul,4508,30,548,114,3680,136,662,4157,2117,0.845536136041568,0.314123760037789,0.421350968351441,0.0358998582900331
paracatu,5232,107,1471,361,3100,193,1832,3409,2115,0.694562647754137,0.373522458628842,0.459101654846336,0.930496453900709
gravata,4443,103,962,457,2699,222,1419,3415,2109,0.74063537221432,0.376955903271693,0.512091038406828,0.366998577524893
fazenda rio grande,4849,76,1089,363,3069,252,1452,4014,2097,0.850262279446829,0.467811158798283,0.508345255126371,0.381497377205532
cristalina,4845,250,1306,643,2407,239,1949,3336,2095,0.77708830548926,0.440572792362769,0.514081145584726,0.839618138424821
aguas lindas de goias,4994,139,1341,543,2591,380,1884,3658,2093,0.797897754419494,0.462494027711419,0.544194935499283,0.322981366459627
ariquemes,5645,165,1170,392,3707,211,1562,3463,2083,0.761401824291887,0.368218915026404,0.452712433989438,0.958713394143063
jequie,5422,197,1118,408,3512,187,1526,3376,2083,0.639942390782525,0.367738838214114,0.498799807969275,0.943350936149784
guarapari,4584,192,1147,392,2685,168,1539,3495,2064,0.586240310077519,0.360949612403101,0.464631782945736,0.97141472868217
