municipio;pessoas;mortos;feridos_leves;feridos_graves;ignorados;feridos;veiculos;freq;share_tracado_via_tipo_1;share_tracado_via_tipo_2;share_is_night;share_is_weekend;share_is_single_lane;cluster
balsas;2211;95;1725;255;136;886;1678;980;0.841836734693878;0.151020408163265;0.428571428571429;0.470408163265306;0.941836734693877;5
tres cachoeiras;1956;46;1736;122;52;545;1544;976;0.717213114754098;0.281762295081967;0.403688524590164;0.456967213114754;0.435450819672131;2
cachoeira paulista;1838;21;1650;77;90;445;1544;975;0.665641025641026;0.327179487179487;0.473846153846154;0.48;0.0605128205128205;2
guapo;1893;50;1535;252;56;745;1412;975;0.725128205128205;0.267692307692308;0.383589743589744;0.485128205128205;0.528205128205128;2
ijui;2296;36;2083;136;41;657;1821;975;0.553846153846154;0.437948717948718;0.374358974358974;0.49025641025641;0.991794871794872;4
candoi;2160;103;1759;244;54;872;1532;962;0.606029106029106;0.376299376299376;0.411642411642412;0.467775467775468;0.964656964656965;5
queimadas;2079;57;1614;268;140;781;1702;962;0.872141372141372;0.118503118503119;0.435550935550936;0.48024948024948;0.996881496881497;5
capivari de baixo;2016;18;1799;146;53;711;1721;961;0.765868886576483;0.208116545265349;0.383975026014568;0.491155046826223;0.684703433922997;5
caapora;1680;30;1453;132;65;516;1327;956;0.569037656903766;0.381799163179916;0.337866108786611;0.423640167364017;0.184100418410042;2
laranjeiras do sul;1981;71;1680;166;64;738;1501;952;0.602941176470588;0.383403361344538;0.418067226890756;0.493697478991597;0.955882352941176;5
lucas do rio verde;2311;63;2007;148;93;590;1696;951;0.909568874868559;0.0862250262881178;0.338590956887487;0.453207150368034;0.919032597266036;5
pontes e lacerda;2293;78;1918;237;59;804;1394;946;0.799154334038055;0.189217758985201;0.424947145877378;0.489429175475687;0.986257928118393;5
santo antonio de jesus;2110;56;1725;248;81;821;1688;943;0.641569459172853;0.344644750795334;0.343584305408271;0.497348886532344;0.926829268292683;5
sao joaquim de bicas;1918;37;1692;108;81;519;1647;942;0.792993630573248;0.200636942675159;0.429936305732484;0.479830148619958;0.064755838641189;2
campo maior;1725;82;1341;239;63;584;1450;941;0.810839532412327;0.187035069075452;0.529224229543039;0.479277364505845;0.975557917109458;5
sao caitano;2167;87;1717;222;140;651;1567;941;0.825717321997875;0.168969181721573;0.420828905419766;0.46971307120085;0.452709883103082;2
tangua;1918;67;1561;186;104;539;1532;939;0.924387646432375;0.0724174653887114;0.488817891373802;0.503727369542066;0.0447284345047923;2
terenos;2370;63;1974;261;72;805;1413;935;0.700534759358289;0.294117647058824;0.483422459893048;0.570053475935829;0.962566844919786;5
arataca;1698;71;1459;123;45;531;1152;934;0.157387580299786;0.838329764453962;0.251605995717345;0.448608137044968;0.998929336188437;4
picarras;1828;42;1570;152;64;518;1587;933;0.786709539121115;0.213290460878885;0.411575562700965;0.521972132904609;0.106109324758842;2
capao alto;1822;54;1579;151;38;594;1420;931;0.602577873254565;0.382384532760473;0.398496240601504;0.472610096670247;0.992481203007519;4
ibipora;2076;19;1716;254;87;870;1639;931;0.660580021482277;0.307196562835661;0.435016111707841;0.482277121374866;0.62406015037594;2
irani;2053;40;1801;178;34;731;1605;930;0.39247311827957;0.601075268817204;0.337634408602151;0.487096774193548;0.988172043010753;4
vargem bonita;1856;64;1574;188;30;703;1356;929;0.32508073196986;0.657696447793326;0.343379978471475;0.473627556512379;0.982777179763186;4
ouro preto;2012;32;1786;139;55;500;1677;926;0.659827213822894;0.322894168466523;0.339092872570194;0.443844492440605;0.861771058315335;5
guaraniacu;1990;77;1642;206;65;730;1479;924;0.636363636363636;0.351731601731602;0.442640692640693;0.510822510822511;0.985930735930736;5
gurupi;2039;85;1706;190;58;706;1510;923;0.869989165763814;0.115926327193933;0.416034669555796;0.541711809317443;0.734561213434453;2
santa ines;1950;109;1429;283;129;654;1603;922;0.836225596529284;0.15943600867679;0.408893709327549;0.497830802603037;0.842733188720174;2
sao gabriel do oeste;2078;49;1797;175;56;664;1519;922;0.863340563991323;0.125813449023861;0.440347071583514;0.484815618221258;0.887201735357918;5
sao domingos do prata;1823;81;1468;221;53;703;1307;915;0.47103825136612;0.511475409836066;0.382513661202186;0.479781420765027;0.979234972677596;4
queluz;1629;28;1488;62;51;350;1372;911;0.681668496158068;0.317233809001098;0.529088913282108;0.472008781558727;0.0702524698133919;2
correia pinto;1786;56;1474;187;69;611;1461;905;0.685082872928177;0.303867403314917;0.479558011049724;0.514917127071823;0.96353591160221;5
bage;1677;19;1521;99;38;436;1140;904;0.563053097345133;0.430309734513274;0.403761061946903;0.440265486725664;0.997787610619469;4
ribas do rio pardo;2203;90;1795;245;73;812;1371;899;0.888765294771969;0.0978865406006674;0.474972191323693;0.49944382647386;0.995550611790879;5
coxim;2171;55;1822;227;67;772;1387;898;0.841870824053452;0.143652561247216;0.472160356347439;0.522271714922049;0.984409799554566;5
guararema;1730;40;1548;56;86;324;1520;896;0.876116071428571;0.113839285714286;0.455357142857143;0.405133928571429;0.110491071428571;2
itaobim;1823;65;1464;236;58;757;1382;896;0.608258928571429;0.3828125;0.456473214285714;0.510044642857143;0.969866071428571;5
lontras;2020;39;1782;143;56;694;1699;892;0.665919282511211;0.327354260089686;0.346412556053812;0.539237668161435;1;5
bom despacho;2114;73;1805;208;28;726;1578;891;0.81705948372615;0.149270482603816;0.430976430976431;0.490460157126824;0.992143658810325;5
candeias do jamari;2184;85;1820;184;95;755;1339;888;0.884009009009009;0.111486486486486;0.447072072072072;0.502252252252252;0.774774774774775;5
corinto;2079;120;1592;296;71;895;1439;886;0.876975169300226;0.117381489841986;0.393905191873589;0.49097065462754;0.969525959367946;5
oliveira fortes;1442;16;1329;75;22;502;1078;885;0.219209039548023;0.745762711864407;0.387570621468927;0.493785310734463;0.0508474576271187;2
