municipio;mortos;feridos_leves;feridos_graves;freq;share_tracado_via_tipo_1;share_is_night;share_is_weekend;share_is_single_lane;cluster
candeias;1.11384847390666;0.961240291559388;0.380733262231587;0.973923165602633;0.893762223847262;-0.492322113086107;-0.223704514277181;-2.39837924868302;2
montes claros;2.36097656862314;0.959787573224039;2.16936650519629;0.973923165602633;-0.118316344010549;-0.029716236105543;0.0938164141657975;0.383856857298627;2
amelia rodrigues;0.692284047523622;0.913300586492878;0.376749669262846;0.970547447839443;0.766473243524903;-0.426315085770675;-0.0431861448491896;-2.49418053455359;2
juquitiba;2.22045509316213;0.729967532571864;1.00615735832392;0.967734349703452;0.18053918449332;0.357025736766301;-0.00649365406417824;-2.21098502985398;2
congonhas;2.18532472429688;1.10186342642115;1.41646743410424;0.966046490821857;-0.314642293675771;-0.0470523215356486;-0.0520755822440626;0.549262005695456;2
belem;-0.0103233297814375;1.02080174330869;-0.0295768135487344;0.96154553380427;-0.254458685072411;0.0783839372390756;-0.527744511280244;-1.67775035158172;2
sapucaia;1.65836919131808;0.87552990977381;0.930469091917842;0.943541705733922;-0.876333978166086;-0.15255917927088;0.130422979255371;0.462404956096522;2
cacapava;0.65715367865837;1.01179488962952;0.285127030981803;0.941291227225129;1.18222035071796;0.218538133573621;0.080974851348743;-2.45079111870608;2
lavras;-0.0805840675119435;0.606195930400149;-0.0335604065174753;0.930038834681162;-1.64253006382437;-0.248233842228398;-0.029802482468717;-2.5370406077123;2
cacoal;0.446371465466851;0.897030141136972;1.50410647941654;0.924412638409178;0.808030317393331;-0.488805011907577;-0.241717319095967;0.538161055186928;2
novo hamburgo;0.481501834332105;1.00656510362227;0.169602834888315;0.919911681391591;0.478681794936347;-0.0989560302596857;-0.258131426461461;-2.0320908195204;2
cuiaba;1.21923958050242;0.830495641377998;1.36866431847935;0.904158331830038;0.46768046506951;-0.453312785553727;-0.291006998419645;-0.271964033137824;2
juatuba;1.41245660926131;0.648615305792333;1.1694846700423;0.904158331830038;-0.754358560817407;-0.190376126765187;0.308600895197658;-1.4751365110015;2
balsa nova;0.305849990005839;0.952814525214365;0.372766076294105;0.903033092575641;-0.544643245161276;-0.173531250563509;0.0784828125109286;-1.9106331080907;2
domingos martins;0.762544785254128;0.745075803259491;1.88254781144694;0.903033092575641;-1.66637222277917;-0.715071813964703;0.244565815872211;0.379317187573485;4
itatiaiucu;0.235589252275333;0.695102292523493;0.161635648950833;0.900219994439649;-1.29785997524023;-0.189050101134356;0.0440608008514381;-2.50256711670656;2
monte alegre de minas;0.938196629580393;0.754373200605723;0.950387056761547;0.894031178540467;-0.250835374890161;0.0542211525185909;-0.144547095575213;-0.899976989873513;2
sinop;1.67593437575071;0.906036994816134;1.63158145441625;0.873214252334128;0.262943779008355;-0.0558027994231933;0.047626690386442;-0.448428565826592;2
mangaratiba;2.00967287997061;0.999592055612595;1.61564708254129;0.867025436434946;-1.14244724721947;-0.41479867145381;0.367174249432015;0.0540543703522092;2
