municipio;cluster;uf;pessoas;mortos;feridos_leves;feridos_graves;ilesos;feridos;freq
cascalho rico;4;uf;1;0;0;0;1;0;1
cascavel;1;uf;17310;324;4524;1461;10446;5985;7819
cascavel;1;uf;17310;324;4524;1461;10446;5985;7819
caseiros;4;uf;532;21;137;33;328;170;260
casimiro de abreu;5;uf;5166;149;816;337;3732;1153;2284
cassilandia;4;uf;693;22;181;105;358;286;286
castanhal;5;uf;6211;127;1010;572;4171;1582;2698
castelandia;4;uf;41;1;17;2;21;19;22
castelo;4;uf;4;0;1;1;2;2;1
castilho;4;uf;21;0;6;1;14;7;14
castro alves;4;uf;10;0;0;0;10;0;5
cataguases;4;uf;2;0;0;0;2;0;1
catalao;5;uf;4682;111;854;362;3251;1216;1658
catanduvas;4;uf;1234;30;358;96;719;454;601
catanduvas;4;uf;1234;30;358;96;719;454;601
catingueira;4;uf;189;27;47;43;58;90;98
catolandia;4;uf;25;4;7;4;9;11;8
catu;3;uf;1964;51;487;178;1140;665;878
catuji;3;uf;1130;85;351;151;509;502;527
